"Program","Year","Schedule","Period","University","N-Surveys","N-Employed","%-Employed"
"KRP",2013,"All","All","WAT",128,,
"KRP",2013,"All",6,"WAT",,,.91578947368421
"KRP",2013,"All",24,"WAT",,,.956989247311828
"KRP",2013,"All","All","WES",122,,
"KRP",2013,"All",6,"WES",,,.953125
"KRP",2013,"All",24,"WES",,,1
"KRP",2013,"All","All","WLA",39,,
"KRP",2013,"All",6,"WLA",,,.833333333333333
"KRP",2013,"All",24,"WLA",,,.964285714285714
"KRP",2013,"All","All","WIN",75,,
"KRP",2013,"All",6,"WIN",,,.836734693877551
"KRP",2013,"All",24,"WIN",,,.827586206896552
"KRP",2013,"All","All","YOR",190,,
"KRP",2013,"All",6,"YOR",,,.827586206896552
"KRP",2013,"All",24,"YOR",,,.91156462585034
"KRP",2013,"FT",6,"All",,549,.629587155963303
"KRP",2013,"PT",6,"All",,240,.275229357798165
"KRP",2013,"FT",24,"All",,643,.675420168067227
"KRP",2013,"PT",24,"All",,237,.248949579831933
"LAW",2013,"All","All","OTT",243,,
"LAW",2013,"All",6,"OTT",,,.918269230769231
"LAW",2013,"All",24,"OTT",,,.888392857142857
"LAW",2013,"All","All","QUE",71,,
"LAW",2013,"All",6,"QUE",,,.928571428571429
"LAW",2013,"All",24,"QUE",,,.929577464788732
"LAW",2013,"All","All","TOR",111,,
"LAW",2013,"All",6,"TOR",,,.901960784313726
"LAW",2013,"All",24,"TOR",,,.889908256880734
"LAW",2013,"All","All","WAT",37,,
"LAW",2013,"All",6,"WAT",,,.818181818181818
"LAW",2013,"All",24,"WAT",,,.925925925925926
"LAW",2013,"All","All","WES",58,,
"LAW",2013,"All",6,"WES",,,.964912280701754
"LAW",2013,"All",24,"WES",,,1
"LAW",2013,"All","All","WIN",79,,
"LAW",2013,"All",6,"WIN",,,.935897435897436
"LAW",2013,"All",24,"WIN",,,.922077922077922
"LAW",2013,"All","All","YOR",131,,
"LAW",2013,"All",6,"YOR",,,.914728682170543
"LAW",2013,"All",24,"YOR",,,.952
"LAW",2013,"FT",6,"All",,585,.86410635155096
"LAW",2013,"PT",6,"All",,34,5.02215657311669E-02
"LAW",2013,"FT",24,"All",,589,.853623188405797
"LAW",2013,"PT",24,"All",,42,6.08695652173913E-02
"MAT",2013,"All","All","BRO",12,,
"MAT",2013,"All",6,"BRO",,,.888888888888889
"MAT",2013,"All",24,"BRO",,,1
"MAT",2013,"All","All","CAR",19,,
"MAT",2013,"All",6,"CAR",,,.9375
"MAT",2013,"All",24,"CAR",,,1
"MAT",2013,"All","All","MCM",41,,
"MAT",2013,"All",6,"MCM",,,.772727272727273
"MAT",2013,"All",24,"MCM",,,.966666666666667
"MAT",2013,"All","All","OTT",17,,
"MAT",2013,"All",6,"OTT",,,.909090909090909
"MAT",2013,"All",24,"OTT",,,.857142857142857
"MAT",2013,"All","All","QUE",19,,
"MAT",2013,"All",6,"QUE",,,1
"MAT",2013,"All",24,"QUE",,,.947368421052632
"MAT",2013,"All","All","TOR",68,,
"MAT",2013,"All",6,"TOR",,,.833333333333333
"MAT",2013,"All",24,"TOR",,,.936507936507937
"MAT",2013,"All","All","WAT",223,,
"MAT",2013,"All",6,"WAT",,,.839805825242718
"MAT",2013,"All",24,"WAT",,,.943127962085308
"MAT",2013,"All","All","WES",13,,
"MAT",2013,"All",6,"WES",,,.833333333333333
