"Year","University","Subject","Metric","OSSD","Count"
2011,"BRO","AHS","RA","Y",1430
2011,"BRO","AHS","RA","N",383
2011,"BRO","SCI","A1","Y",249
2011,"BRO","SCI","A1","N",128
2011,"BRO","SCI","R1","Y",127
2011,"BRO","SCI","R1","N",32
2011,"BRO","SCI","AA","Y",1804
2011,"BRO","SCI","AA","N",441
2011,"BRO","SCI","RA","Y",312
2011,"BRO","SCI","RA","N",57
2011,"BRO","CMB","A1","Y",434
2011,"BRO","CMB","A1","N",177
2011,"BRO","CMB","R1","Y",219
2011,"BRO","CMB","R1","N",33
2011,"BRO","CMB","AA","Y",2739
2011,"BRO","CMB","AA","N",532
2011,"BRO","CMB","RA","Y",478
2011,"BRO","CMB","RA","N",51
2011,"BRO","PHE","A1","Y",718
2011,"BRO","PHE","A1","N",173
2011,"BRO","PHE","R1","Y",316
2011,"BRO","PHE","R1","N",38
2011,"BRO","PHE","AA","Y",2802
2011,"BRO","PHE","AA","N",472
2011,"BRO","PHE","RA","Y",569
2011,"BRO","PHE","RA","N",69
2011,"BRO","FAA","A1","Y",90
2011,"BRO","FAA","A1","N",30
