"Year","EducationLevel","Metric","AgeGroup","Sex","Count"
2001,"E9","EPT","55+","F",5.8
2001,"E9","EPT","55-64","M",4.3
2001,"E9","EPT","55-64","F",4.2
2001,"E9","UNE","25-34","M",2.9
2001,"E9","UNE","25-34","F",2.2
2001,"E9","UNE","55+","M",1.8
2001,"E9","UNE","55-64","M",1.7
2001,"E9","NLF","15-24","F",2.6
2001,"E9","NLF","25-34","M",5.6
2001,"E9","NLF","25-34","F",10.5
2001,"E9","NLF","55+","M",43.8
2001,"E9","NLF","55+","F",23.1
2001,"E9","NLF","55-64","M",15.3
2001,"E9","NLF","55-64","F",8.6
2001,"E9","URT","25-34","M",4.5
2001,"E9","URT","25-34","F",3.4
2001,"E9","URT","55+","M",3.7
2001,"E9","URT","55-64","M",4.2
2001,"E9","PRT","15-24","M",85.4
2001,"E9","PRT","15-24","F",72.2
2001,"E9","PRT","25-34","M",92
2001,"E9","PRT","25-34","F",86.1
2001,"E9","PRT","55+","M",52.6
2001,"E9","PRT","55+","F",44.3
2001,"E9","PRT","55-64","M",72.6
2001,"E9","PRT","55-64","F",64.6
2001,"E9","ERT","15-24","M",70.7
2001,"E9","ERT","15-24","F",68.9
2001,"E9","ERT","25-34","M",87.9
2001,"E9","ERT","25-34","F",83.2
2001,"E9","ERT","55+","M",50.6
2001,"E9","ERT","55+","F",42.9
2001,"E9","ERT","55-64","M",69.6
2001,"E9","ERT","55-64","F",63
2002,"E0","LFO","15-24","M",8.4
2002,"E0","LFO","15-24","F",6.3
2002,"E0","LFO","25-34","M",7.2
2002,"E0","LFO","25-34","F",4.8
2002,"E0","LFO","55+","M",46.2
2002,"E0","LFO","55+","F",25.8
2002,"E0","LFO","55-64","M",35.7
2002,"E0","LFO","55-64","F",22
2002,"E0","EFT","15-24","M",3.5
2002,"E0","EFT","15-24","F",1.8
2002,"E0","EFT","25-34","M",5.5
2002,"E0","EFT","25-34","F",3.2
2002,"E0","EFT","55+","M",38.1
2002,"E0","EFT","55+","F",16
2002,"E0","EFT","55-64","M",30.9
2002,"E0","EFT","55-64","F",14.5
2002,"E0","EPT","15-24","M",2.8
2002,"E0","EPT","15-24","F",2.9
2002,"E0","EPT","55+","M",5.9
2002,"E0","EPT","55+","F",7.7
2002,"E0","EPT","55-64","M",3
2002,"E0","EPT","55-64","F",5.4
2002,"E0","UNE","15-24","M",2.2
2002,"E0","UNE","15-24","F",1.5
2002,"E0","UNE","55+","M",2.1
2002,"E0","UNE","55+","F",2.1
2002,"E0","UNE","55-64","M",1.8
2002,"E0","UNE","55-64","F",2.1
2002,"E0","NLF","15-24","M",13.4
2002,"E0","NLF","15-24","F",14.8
2002,"E0","NLF","25-34","M",6.7
2002,"E0","NLF","25-34","F",9.4
2002,"E0","NLF","55+","M",184.6
2002,"E0","NLF","55+","F",278
2002,"E0","NLF","55-64","M",31.5
2002,"E0","NLF","55-64","F",59.3
2002,"E0","URT","15-24","M",26.2
2002,"E0","URT","15-24","F",23.8
2002,"E0","URT","55+","M",4.5
2002,"E0","URT","55+","F",8.1
2002,"E0","URT","55-64","M",5
2002,"E0","URT","55-64","F",9.5
2002,"E0","PRT","15-24","M",38.7
2002,"E0","PRT","15-24","F",29.9
2002,"E0","PRT","25-34","M",51.8
2002,"E0","PRT","25-34","F",33.8
2002,"E0","PRT","55+","M",20
2002,"E0","PRT","55+","F",8.5
2002,"E0","PRT","55-64","M",53.1
2002,"E0","PRT","55-64","F",27.1
2002,"E0","ERT","15-24","M",28.6
2002,"E0","ERT","15-24","F",22.7
2002,"E0","ERT","25-34","M",44.6
2002,"E0","ERT","25-34","F",30.3
2002,"E0","ERT","55+","M",19.1
2002,"E0","ERT","55+","F",7.8
2002,"E0","ERT","55-64","M",50.3
2002,"E0","ERT","55-64","F",24.5
2002,"E1+2","LFO","15-24","M",196.2
2002,"E1+2","LFO","15-24","F",170.4
2002,"E1+2","LFO","25-34","M",64
2002,"E1+2","LFO","25-34","F",30.8
2002,"E1+2","LFO","55+","M",58.3
2002,"E1+2","LFO","55+","F",37.5
2002,"E1+2","LFO","55-64","M",46.5
2002,"E1+2","LFO","55-64","F",32.1
2002,"E1+2","EFT","15-24","M",50.6
2002,"E1+2","EFT","15-24","F",24.1
2002,"E1+2","EFT","25-34","M",52.5
2002,"E1+2","EFT","25-34","F",20
2002,"E1+2","EFT","55+","M",47.7
2002,"E1+2","EFT","55+","F",23.5
2002,"E1+2","EFT","55-64","M",40.3
2002,"E1+2","EFT","55-64","F",21.3
2002,"E1+2","EPT","15-24","M",102.2
2002,"E1+2","EPT","15-24","F",116.6
2002,"E1+2","EPT","25-34","M",2.6
2002,"E1+2","EPT","25-34","F",7.2
2002,"E1+2","EPT","55+","M",7.9
2002,"E1+2","EPT","55+","F",12
2002,"E1+2","EPT","55-64","M",3.6
2002,"E1+2","EPT","55-64","F",8.9
2002,"E1+2","UNE","15-24","M",43.4
2002,"E1+2","UNE","15-24","F",29.7
2002,"E1+2","UNE","25-34","M",8.9
2002,"E1+2","UNE","25-34","F",3.6
2002,"E1+2","UNE","55+","M",2.8
2002,"E1+2","UNE","55+","F",2
2002,"E1+2","UNE","55-64","M",2.6
2002,"E1+2","UNE","55-64","F",1.8
2002,"E1+2","NLF","15-24","M",161
2002,"E1+2","NLF","15-24","F",136
2002,"E1+2","NLF","25-34","M",10.8
2002,"E1+2","NLF","25-34","F",19.5
2002,"E1+2","NLF","55+","M",130.2
2002,"E1+2","NLF","55+","F",228.6
2002,"E1+2","NLF","55-64","M",33.2
2002,"E1+2","NLF","55-64","F",58.1
2002,"E1+2","URT","15-24","M",22.1
2002,"E1+2","URT","15-24","F",17.4
2002,"E1+2","URT","25-34","M",13.9
2002,"E1+2","URT","25-34","F",11.7
2002,"E1+2","URT","55+","M",4.8
2002,"E1+2","URT","55+","F",5.3
2002,"E1+2","URT","55-64","M",5.6
2002,"E1+2","URT","55-64","F",5.6
2002,"E1+2","PRT","15-24","M",54.9
2002,"E1+2","PRT","15-24","F",55.6
2002,"E1+2","PRT","25-34","M",85.6
2002,"E1+2","PRT","25-34","F",61.2
2002,"E1+2","PRT","55+","M",30.9
2002,"E1+2","PRT","55+","F",14.1
2002,"E1+2","PRT","55-64","M",58.3
2002,"E1+2","PRT","55-64","F",35.6
2002,"E1+2","ERT","15-24","M",42.8
2002,"E1+2","ERT","15-24","F",45.9
2002,"E1+2","ERT","25-34","M",73.7
2002,"E1+2","ERT","25-34","F",54.1
2002,"E1+2","ERT","55+","M",29.4
2002,"E1+2","ERT","55+","F",13.3
2002,"E1+2","ERT","55-64","M",55.1
2002,"E1+2","ERT","55-64","F",33.6
2002,"E3","LFO","15-24","M",137.5
2002,"E3","LFO","15-24","F",111.3
2002,"E3","LFO","25-34","M",159.5
2002,"E3","LFO","25-34","F",106.7
2002,"E3","LFO","55+","M",76.1
2002,"E3","LFO","55+","F",75
2002,"E3","LFO","55-64","M",66.2
2002,"E3","LFO","55-64","F",65.5
2002,"E3","EFT","15-24","M",92.9
2002,"E3","EFT","15-24","F",56.9
2002,"E3","EFT","25-34","M",138.7
2002,"E3","EFT","25-34","F",79.4
2002,"E3","EFT","55+","M",63.9
2002,"E3","EFT","55+","F",48.5
2002,"E3","EFT","55-64","M",57
2002,"E3","EFT","55-64","F",45.7
2002,"E3","EPT","15-24","M",27.9
2002,"E3","EPT","15-24","F",44.3
2002,"E3","EPT","25-34","M",7.2
2002,"E3","EPT","25-34","F",17.3
